127.0.0.1, 2010-08-04 19:20:07, GET, /, HTTP/1.1, 303, 0.001207
127.0.0.1, 2010-08-04 19:20:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.721516
127.0.0.1, 2010-08-04 19:20:08, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.000743
127.0.0.1, 2010-08-04 19:20:08, GET, /welcome/static/base.css, HTTP/1.1, 200, 0.000731
127.0.0.1, 2010-08-04 19:20:08, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.000805
127.0.0.1, 2010-08-04 19:20:08, GET, /welcome/static/calendar.js, HTTP/1.1, 200, 0.000753
127.0.0.1, 2010-08-04 19:20:08, GET, /welcome/static/superfish.js, HTTP/1.1, 200, 0.000874
127.0.0.1, 2010-08-04 19:20:08, GET, /welcome/static/images/background.png, HTTP/1.1, 200, 0.000485
127.0.0.1, 2010-08-04 19:20:08, GET, /welcome/static/images/header.png, HTTP/1.1, 200, 0.000500
127.0.0.1, 2010-08-04 19:20:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000431
127.0.0.1, 2010-08-04 19:20:20, GET, /admin/default/index, HTTP/1.1, 200, 0.414019
127.0.0.1, 2010-08-04 19:20:20, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.000507
127.0.0.1, 2010-08-04 19:20:20, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.000468
127.0.0.1, 2010-08-04 19:20:20, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.001212
127.0.0.1, 2010-08-04 19:20:20, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.000481
127.0.0.1, 2010-08-04 19:20:20, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000510
127.0.0.1, 2010-08-04 19:20:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000450
127.0.0.1, 2010-08-04 19:20:24, POST, /admin/default/index, HTTP/1.1, 303, 0.034235
127.0.0.1, 2010-08-04 19:20:24, GET, /admin/default/site, HTTP/1.1, 200, 0.041056
127.0.0.1, 2010-08-04 19:20:24, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.000463
127.0.0.1, 2010-08-04 19:20:24, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.000729
127.0.0.1, 2010-08-04 19:20:24, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.000420
127.0.0.1, 2010-08-04 19:20:24, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.000608
127.0.0.1, 2010-08-04 19:20:24, GET, /admin/static/title.png, HTTP/1.1, 304, 0.000539
127.0.0.1, 2010-08-04 19:20:25, POST, /admin/default/check_version, HTTP/1.1, 200, 0.833751
127.0.0.1, 2010-08-04 19:20:28, GET, /admin/default/twitter, HTTP/1.1, 200, 3.538405
127.0.0.1, 2010-08-04 19:20:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000431
127.0.0.1, 2010-08-04 19:21:28, POST, /admin/default/site, HTTP/1.1, 303, 0.049943
127.0.0.1, 2010-08-04 19:21:28, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.060225
127.0.0.1, 2010-08-04 19:21:28, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.000401
127.0.0.1, 2010-08-04 19:21:28, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.000384
127.0.0.1, 2010-08-04 19:21:28, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.000359
127.0.0.1, 2010-08-04 19:21:28, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.000800
127.0.0.1, 2010-08-04 19:21:28, GET, /admin/static/title.png, HTTP/1.1, 304, 0.000446
127.0.0.1, 2010-08-04 19:21:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000472
127.0.0.1, 2010-08-04 19:21:37, GET, /myapp, HTTP/1.1, 200, 0.667235
127.0.0.1, 2010-08-04 19:21:38, GET, /myapp/static/jquery.js, HTTP/1.1, 200, 0.000547
127.0.0.1, 2010-08-04 19:21:38, GET, /myapp/static/calendar.css, HTTP/1.1, 200, 0.000480
127.0.0.1, 2010-08-04 19:21:38, GET, /myapp/static/calendar.js, HTTP/1.1, 200, 0.000471
127.0.0.1, 2010-08-04 19:21:38, GET, /myapp/static/base.css, HTTP/1.1, 200, 0.000490
127.0.0.1, 2010-08-04 19:21:38, GET, /myapp/static/superfish.js, HTTP/1.1, 200, 0.000525
127.0.0.1, 2010-08-04 19:21:38, GET, /myapp/static/images/background.png, HTTP/1.1, 200, 0.000483
127.0.0.1, 2010-08-04 19:21:38, GET, /myapp/static/images/header.png, HTTP/1.1, 200, 0.000377
127.0.0.1, 2010-08-04 19:21:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000475
127.0.0.1, 2010-08-04 19:21:49, GET, /myapp, HTTP/1.1, 200, 0.023021
127.0.0.1, 2010-08-04 19:21:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000453
127.0.0.1, 2010-08-04 19:22:05, GET, /admin/default/edit/myapp/models/db.py, HTTP/1.1, 200, 0.039420
127.0.0.1, 2010-08-04 19:22:06, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.000525
127.0.0.1, 2010-08-04 19:22:06, GET, /admin/static/ajax_editor.js, HTTP/1.1, 200, 0.000455
127.0.0.1, 2010-08-04 19:22:06, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.000538
127.0.0.1, 2010-08-04 19:22:06, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.000479
127.0.0.1, 2010-08-04 19:22:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000410
